year,aqi
1998.0,16.0
1998.0,
1998.0,11.0
1998.0,
1998.0,18.0
1998.0,
1998.0,19.0
1998.0,
1998.0,
1998.0,
1998.0,27.0
1998.0,
1998.0,19.0
1998.0,
1998.0,20.0
1998.0,
1998.0,31.0
1998.0,
1998.0,38.0
1998.0,
1998.0,44.0
1998.0,
1998.0,58.0
1998.0,
1998.0,50.0
1998.0,
1998.0,33.0
1998.0,
1998.0,31.0
1998.0,
1998.0,43.0
1998.0,
1998.0,33.0
1998.0,
1998.0,32.0
1998.0,
1998.0,15.0
1998.0,
1998.0,20.0
1998.0,
1998.0,25.0
1998.0,
1998.0,21.0
1998.0,
1998.0,14.0
1998.0,
1998.0,31.0
1998.0,
1998.0,19.0
1998.0,
1998.0,29.0
1998.0,
1998.0,40.0
1998.0,
1998.0,23.0
1998.0,
1998.0,18.0
1998.0,
1998.0,32.0
1998.0,
1998.0,24.0
1998.0,
1998.0,21.0
1998.0,
1998.0,22.0
1998.0,
1998.0,19.0
1998.0,
1998.0,11.0
1998.0,
1998.0,12.0
1998.0,
1998.0,8.0
1998.0,
1998.0,21.0
1998.0,
1998.0,28.0
1998.0,
1998.0,27.0
1998.0,
1998.0,21.0
1998.0,
1998.0,17.0
1998.0,
1998.0,18.0
1998.0,
1998.0,25.0
1998.0,
1998.0,15.0
1998.0,
1998.0,13.0
1998.0,
1998.0,18.0
1998.0,
1998.0,32.0
1998.0,
1998.0,25.0
1998.0,
1998.0,22.0
1998.0,
1998.0,31.0
1998.0,
1998.0,31.0
1998.0,
1998.0,19.0
1998.0,
1998.0,17.0
1998.0,
1998.0,24.0
1998.0,
1998.0,33.0
1998.0,
1998.0,34.0
1998.0,
1998.0,54.0
1998.0,
1998.0,38.0
1998.0,
1998.0,52.0
1998.0,
1998.0,57.0
1998.0,
1998.0,38.0
1998.0,
1998.0,30.0
1998.0,
1998.0,27.0
1998.0,
1998.0,34.0
1998.0,
1998.0,24.0
1998.0,
1998.0,32.0
1998.0,
1998.0,38.0
1998.0,
1998.0,36.0
1998.0,
1998.0,26.0
1998.0,
1998.0,31.0
1998.0,
1998.0,53.0
1998.0,
1998.0,
1998.0,
1998.0,50.0
1998.0,
1998.0,55.0
1998.0,
1998.0,42.0
1998.0,
1999.0,
1999.0,18.0
1999.0,
1999.0,15.0
1999.0,
1999.0,20.0
1999.0,
1999.0,23.0
1999.0,
1999.0,30.0
1999.0,
1999.0,25.0
1999.0,
1999.0,24.0
1999.0,
1999.0,28.0
1999.0,
1999.0,19.0
1999.0,
1999.0,15.0
1999.0,
1999.0,19.0
1999.0,
1999.0,29.0
1999.0,
1999.0,20.0
1999.0,
1999.0,27.0
1999.0,
1999.0,32.0
1999.0,
1999.0,33.0
1999.0,
1999.0,22.0
1999.0,
1999.0,21.0
1999.0,
1999.0,34.0
1999.0,
1999.0,36.0
1999.0,
1999.0,39.0
1999.0,
1999.0,24.0
1999.0,
1999.0,31.0
1999.0,
1999.0,22.0
1999.0,
1999.0,17.0
1999.0,
1999.0,20.0
1999.0,
1999.0,16.0
1999.0,
1999.0,24.0
1999.0,
1999.0,31.0
1999.0,
1999.0,35.0
1999.0,
1999.0,31.0
1999.0,
1999.0,14.0
1999.0,
1999.0,14.0
1999.0,
1999.0,19.0
1999.0,
1999.0,17.0
1999.0,
1999.0,13.0
1999.0,
1999.0,15.0
1999.0,
1999.0,16.0
1999.0,
1999.0,13.0
1999.0,
1999.0,12.0
1999.0,
1999.0,11.0
1999.0,
1999.0,16.0
1999.0,
1999.0,12.0
1999.0,
1999.0,24.0
1999.0,
1999.0,
1999.0,
1999.0,23.0
1999.0,
1999.0,34.0
1999.0,
1999.0,18.0
1999.0,
1999.0,18.0
1999.0,
1999.0,16.0
1999.0,
1999.0,17.0
1999.0,
1999.0,15.0
1999.0,
1999.0,17.0
1999.0,
1999.0,21.0
1999.0,
1999.0,
1999.0,
1999.0,29.0
1999.0,
1999.0,34.0
1999.0,
1999.0,19.0
1999.0,
1999.0,22.0
1999.0,
1999.0,21.0
1999.0,
1999.0,17.0
1999.0,
1999.0,12.0
1999.0,
1999.0,12.0
1999.0,
1999.0,12.0
1999.0,
1999.0,
1999.0,
1999.0,
1999.0,
1999.0,53.0
1999.0,
1999.0,26.0
1999.0,
1999.0,1.0
1999.0,
1999.0,19.0
1999.0,
1999.0,41.0
1999.0,
1999.0,52.0
1999.0,
1999.0,52.0
1999.0,
1999.0,46.0
1999.0,
1999.0,43.0
1999.0,
1999.0,47.0
1999.0,
1999.0,
1999.0,
1999.0,45.0
1999.0,
1999.0,35.0
1999.0,
1999.0,32.0
1999.0,
1999.0,17.0
1999.0,
1999.0,18.0
1999.0,
1999.0,23.0
1999.0,
1999.0,27.0
1999.0,
1999.0,31.0
1999.0,
1999.0,44.0
1999.0,
1999.0,41.0
1999.0,
1999.0,22.0
1999.0,
1999.0,26.0
1999.0,
1999.0,22.0
1999.0,
1999.0,21.0
1999.0,
1999.0,25.0
1999.0,
1999.0,22.0
1999.0,
1999.0,18.0
1999.0,
1999.0,
1999.0,14.0
1999.0,
1999.0,16.0
1999.0,
1999.0,14.0
1999.0,
1999.0,15.0
1999.0,
1999.0,15.0
1999.0,
1999.0,39.0
1999.0,
1999.0,28.0
1999.0,
1999.0,35.0
1999.0,
1999.0,51.0
1999.0,
1999.0,34.0
1999.0,
1999.0,21.0
1999.0,
1999.0,32.0
1999.0,
1999.0,19.0
1999.0,
1999.0,23.0
1999.0,
1999.0,26.0
1999.0,
1999.0,19.0
1999.0,
1999.0,31.0
1999.0,
1999.0,31.0
1999.0,
1999.0,26.0
1999.0,
1999.0,31.0
1999.0,
1999.0,24.0
1999.0,
1999.0,5.0
1999.0,
1999.0,22.0
1999.0,
1999.0,29.0
1999.0,
1999.0,19.0
1999.0,
1999.0,21.0
1999.0,
1999.0,28.0
1999.0,
1999.0,19.0
1999.0,
1999.0,22.0
1999.0,
1999.0,27.0
1999.0,
1999.0,27.0
1999.0,
1999.0,23.0
1999.0,
1999.0,11.0
1999.0,
1999.0,10.0
1999.0,
1999.0,11.0
1999.0,
1999.0,11.0
1999.0,
1999.0,14.0
1999.0,
1999.0,25.0
1999.0,
1999.0,19.0
1999.0,
1999.0,22.0
1999.0,
1999.0,18.0
1999.0,
1999.0,26.0
1999.0,
1999.0,27.0
1999.0,
1999.0,24.0
1999.0,
1999.0,29.0
1999.0,
1999.0,19.0
1999.0,
1999.0,14.0
1999.0,
1999.0,19.0
1999.0,
1999.0,19.0
1999.0,
1999.0,27.0
1999.0,
1999.0,31.0
1999.0,
1999.0,27.0
1999.0,
1999.0,23.0
1999.0,
1999.0,8.0
1999.0,
1999.0,35.0
1999.0,
1999.0,31.0
1999.0,
1999.0,26.0
1999.0,
1999.0,19.0
1999.0,
1999.0,22.0
1999.0,
1999.0,20.0
1999.0,
1999.0,14.0
1999.0,
1999.0,26.0
1999.0,
1999.0,37.0
1999.0,
1999.0,48.0
1999.0,
1999.0,36.0
1999.0,
1999.0,30.0
1999.0,
1999.0,21.0
1999.0,
1999.0,10.0
1999.0,
2000.0,24.0
2000.0,
2000.0,25.0
2000.0,
2000.0,25.0
2000.0,
2000.0,26.0
2000.0,
2000.0,21.0
2000.0,
2000.0,21.0
2000.0,
2000.0,15.0
2000.0,
2000.0,17.0
2000.0,
2000.0,19.0
2000.0,
2000.0,33.0
2000.0,
2000.0,35.0
2000.0,
2000.0,24.0
2000.0,
2000.0,22.0
2000.0,
2000.0,28.0
2000.0,
2000.0,38.0
2000.0,
2000.0,34.0
2000.0,
2000.0,32.0
2000.0,
2000.0,20.0
2000.0,
2000.0,25.0
2000.0,
2000.0,23.0
2000.0,
2000.0,20.0
2000.0,
2000.0,17.0
2000.0,
2000.0,19.0
2000.0,
2000.0,29.0
2000.0,
2000.0,31.0
2000.0,
2000.0,23.0
2000.0,
2000.0,16.0
2000.0,
2000.0,18.0
2000.0,
2000.0,13.0
2000.0,
2000.0,16.0
2000.0,
2000.0,18.0
2000.0,
2000.0,31.0
2000.0,
2000.0,23.0
2000.0,
2000.0,27.0
2000.0,
2000.0,27.0
2000.0,
2000.0,18.0
2000.0,
2000.0,19.0
2000.0,
2000.0,23.0
2000.0,
2000.0,19.0
2000.0,
2000.0,27.0
2000.0,
2000.0,20.0
2000.0,
2000.0,11.0
2000.0,
2000.0,16.0
2000.0,
2000.0,16.0
2000.0,
2000.0,19.0
2000.0,
2000.0,13.0
2000.0,
2000.0,17.0
2000.0,
2000.0,12.0
2000.0,
2000.0,12.0
2000.0,
2000.0,15.0
2000.0,
2000.0,17.0
2000.0,
2000.0,19.0
2000.0,
2000.0,15.0
2000.0,
2000.0,14.0
2000.0,
2000.0,13.0
2000.0,
2000.0,14.0
2000.0,
2000.0,24.0
2000.0,
2000.0,19.0
2000.0,
2000.0,13.0
2000.0,
2000.0,13.0
2000.0,
2000.0,27.0
2000.0,
2000.0,34.0
2000.0,
2000.0,29.0
2000.0,
2000.0,40.0
2000.0,
2000.0,21.0
2000.0,
2000.0,29.0
2000.0,
2000.0,47.0
2000.0,
2000.0,29.0
2000.0,
2000.0,
2000.0,22.0
2000.0,
2000.0,25.0
2000.0,
2000.0,32.0
2000.0,
2000.0,28.0
2000.0,
2000.0,25.0
2000.0,
2000.0,25.0
2000.0,
2000.0,22.0
2000.0,
2000.0,25.0
2000.0,
2000.0,
2000.0,40.0
2000.0,
2000.0,35.0
2000.0,
2000.0,36.0
2000.0,
2000.0,34.0
2000.0,
2000.0,24.0
2000.0,
2000.0,14.0
2000.0,
2000.0,16.0
2000.0,
2000.0,18.0
2000.0,
2000.0,23.0
2000.0,
2000.0,30.0
2000.0,
2000.0,22.0
2000.0,
2000.0,22.0
2000.0,
2000.0,15.0
2000.0,
2000.0,18.0
2000.0,
2000.0,21.0
2000.0,
2000.0,17.0
2000.0,
2000.0,20.0
2000.0,
2000.0,16.0
2000.0,
2000.0,17.0
2000.0,
2000.0,20.0
2000.0,
2000.0,38.0
2000.0,
2000.0,42.0
2000.0,
2000.0,43.0
2000.0,
2000.0,32.0
2000.0,
2000.0,26.0
2000.0,
2000.0,25.0
2000.0,
2000.0,32.0
2000.0,
2000.0,36.0
2000.0,
2000.0,42.0
2000.0,
2000.0,39.0
2000.0,
2000.0,35.0
2000.0,
2000.0,38.0
2000.0,
2000.0,27.0
2000.0,
2000.0,23.0
2000.0,
2000.0,29.0
2000.0,
2000.0,24.0
2000.0,
2000.0,15.0
2000.0,
2000.0,22.0
2000.0,
2000.0,22.0
2000.0,
2000.0,21.0
2000.0,
2000.0,19.0
2000.0,
